"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Delete file","LMS service","Wed Jan 07 12:36:18 UTC 2026","passed","Wed Jan 07 12:36:18 UTC 2026","Validate entity","Files","",""
"","266","Create file with empty filename","LMS service","Wed Jan 07 12:36:17 UTC 2026","passed","Wed Jan 07 12:36:17 UTC 2026","Validate entity","Files","",""
"","301","Update course","LMS service","Wed Jan 07 12:36:11 UTC 2026","passed","Wed Jan 07 12:36:12 UTC 2026","Update entity","Courses","",""
"","264","Create file with empty directory","LMS service","Wed Jan 07 12:36:18 UTC 2026","passed","Wed Jan 07 12:36:18 UTC 2026","Validate entity","Files","",""
"","537","Create user","LMS service","Wed Jan 07 12:36:18 UTC 2026","passed","Wed Jan 07 12:36:19 UTC 2026","Create entity","Users","",""
"","11","Get user me","LMS service","Wed Jan 07 12:36:20 UTC 2026","passed","Wed Jan 07 12:36:20 UTC 2026","Get entity","Users","",""
"","303","Create course","LMS service","Wed Jan 07 12:36:12 UTC 2026","passed","Wed Jan 07 12:36:12 UTC 2026","Create entity","Courses","",""
"","267","Create file","LMS service","Wed Jan 07 12:36:16 UTC 2026","passed","Wed Jan 07 12:36:16 UTC 2026","Create entity","Files","",""
"","554","Create user","LMS service","Wed Jan 07 12:36:19 UTC 2026","passed","Wed Jan 07 12:36:20 UTC 2026","Create entity","Users","",""
"","28","Get courses","LMS service","Wed Jan 07 12:36:13 UTC 2026","passed","Wed Jan 07 12:36:13 UTC 2026","Get entities","Courses","",""
"","21","Create exercise","LMS service","Wed Jan 07 12:36:13 UTC 2026","passed","Wed Jan 07 12:36:13 UTC 2026","Create entity","Exercises","",""
"","14","Get exercise","LMS service","Wed Jan 07 12:36:14 UTC 2026","passed","Wed Jan 07 12:36:14 UTC 2026","Get entity","Exercises","",""
"","17","Get file with incorrect file id","LMS service","Wed Jan 07 12:36:19 UTC 2026","passed","Wed Jan 07 12:36:19 UTC 2026","Validate entity","Files","",""
"","25","Delete exercise","LMS service","Wed Jan 07 12:36:15 UTC 2026","passed","Wed Jan 07 12:36:15 UTC 2026","Delete entity","Exercises","",""
"","295","Create user","LMS service","Wed Jan 07 12:36:19 UTC 2026","passed","Wed Jan 07 12:36:19 UTC 2026","Create entity","Users","",""
"","25","Update exercise","LMS service","Wed Jan 07 12:36:14 UTC 2026","passed","Wed Jan 07 12:36:14 UTC 2026","Update entity","Exercises","",""
"","14","Get file","LMS service","Wed Jan 07 12:36:17 UTC 2026","passed","Wed Jan 07 12:36:17 UTC 2026","Get entity","Files","",""
"","283","Login with correct email and password","LMS service","Wed Jan 07 12:36:11 UTC 2026","passed","Wed Jan 07 12:36:11 UTC 2026","Login","Authentication","",""
"","15","Get exercises","LMS service","Wed Jan 07 12:36:16 UTC 2026","passed","Wed Jan 07 12:36:16 UTC 2026","Get entities","Exercises","",""
