"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Update exercise","LMS service","Wed Jan 07 16:16:29 UTC 2026","passed","Wed Jan 07 16:16:29 UTC 2026","Update entity","Exercises","",""
"","282","Login with correct email and password","LMS service","Wed Jan 07 16:16:25 UTC 2026","passed","Wed Jan 07 16:16:26 UTC 2026","Login","Authentication","",""
"","14","Get exercises","LMS service","Wed Jan 07 16:16:30 UTC 2026","passed","Wed Jan 07 16:16:30 UTC 2026","Get entities","Exercises","",""
"","17","Get exercise","LMS service","Wed Jan 07 16:16:29 UTC 2026","passed","Wed Jan 07 16:16:29 UTC 2026","Get entity","Exercises","",""
"","286","Create user","LMS service","Wed Jan 07 16:16:34 UTC 2026","passed","Wed Jan 07 16:16:34 UTC 2026","Create entity","Users","",""
"","24","Delete exercise","LMS service","Wed Jan 07 16:16:30 UTC 2026","passed","Wed Jan 07 16:16:30 UTC 2026","Delete entity","Exercises","",""
"","15","Create file with empty directory","LMS service","Wed Jan 07 16:16:32 UTC 2026","passed","Wed Jan 07 16:16:32 UTC 2026","Validate entity","Files","",""
"","22","Create exercise","LMS service","Wed Jan 07 16:16:28 UTC 2026","passed","Wed Jan 07 16:16:28 UTC 2026","Create entity","Exercises","",""
"","10","Get user me","LMS service","Wed Jan 07 16:16:35 UTC 2026","passed","Wed Jan 07 16:16:35 UTC 2026","Get entity","Users","",""
"","529","Create user","LMS service","Wed Jan 07 16:16:34 UTC 2026","passed","Wed Jan 07 16:16:34 UTC 2026","Create entity","Users","",""
"","263","Create file with empty filename","LMS service","Wed Jan 07 16:16:32 UTC 2026","passed","Wed Jan 07 16:16:32 UTC 2026","Validate entity","Files","",""
"","27","Get courses","LMS service","Wed Jan 07 16:16:28 UTC 2026","passed","Wed Jan 07 16:16:28 UTC 2026","Get entities","Courses","",""
"","15","Get file with incorrect file id","LMS service","Wed Jan 07 16:16:34 UTC 2026","passed","Wed Jan 07 16:16:34 UTC 2026","Validate entity","Files","",""
"","30","Create course","LMS service","Wed Jan 07 16:16:27 UTC 2026","passed","Wed Jan 07 16:16:27 UTC 2026","Create entity","Courses","",""
"","15","Get file","LMS service","Wed Jan 07 16:16:31 UTC 2026","passed","Wed Jan 07 16:16:31 UTC 2026","Get entity","Files","",""
"","548","Create user","LMS service","Wed Jan 07 16:16:34 UTC 2026","passed","Wed Jan 07 16:16:34 UTC 2026","Create entity","Users","",""
"","265","Create file","LMS service","Wed Jan 07 16:16:31 UTC 2026","passed","Wed Jan 07 16:16:31 UTC 2026","Create entity","Files","",""
"","300","Update course","LMS service","Wed Jan 07 16:16:26 UTC 2026","passed","Wed Jan 07 16:16:27 UTC 2026","Update entity","Courses","",""
"","18","Delete file","LMS service","Wed Jan 07 16:16:34 UTC 2026","passed","Wed Jan 07 16:16:34 UTC 2026","Validate entity","Files","",""
