"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Get exercises","LMS service","Sun Jan 18 16:44:46 UTC 2026","passed","Sun Jan 18 16:44:46 UTC 2026","Get entities","Exercises","",""
"","307","Update course","LMS service","Sun Jan 18 16:44:43 UTC 2026","passed","Sun Jan 18 16:44:43 UTC 2026","Update entity","Courses","",""
"","23","Create exercise","LMS service","Sun Jan 18 16:44:44 UTC 2026","passed","Sun Jan 18 16:44:44 UTC 2026","Create entity","Exercises","",""
"","33","Get courses","LMS service","Sun Jan 18 16:44:44 UTC 2026","passed","Sun Jan 18 16:44:44 UTC 2026","Get entities","Courses","",""
"","21","Update exercise","LMS service","Sun Jan 18 16:44:45 UTC 2026","passed","Sun Jan 18 16:44:45 UTC 2026","Update entity","Exercises","",""
"","19","Delete file","LMS service","Sun Jan 18 16:44:50 UTC 2026","passed","Sun Jan 18 16:44:50 UTC 2026","Validate entity","Files","",""
"","261","Create file with empty filename","LMS service","Sun Jan 18 16:44:48 UTC 2026","passed","Sun Jan 18 16:44:49 UTC 2026","Validate entity","Files","",""
"","286","Login with correct email and password","LMS service","Sun Jan 18 16:44:42 UTC 2026","passed","Sun Jan 18 16:44:42 UTC 2026","Login","Authentication","",""
"","17","Create file with empty directory","LMS service","Sun Jan 18 16:44:49 UTC 2026","passed","Sun Jan 18 16:44:49 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Sun Jan 18 16:44:51 UTC 2026","passed","Sun Jan 18 16:44:51 UTC 2026","Get entity","Users","",""
"","288","Create user","LMS service","Sun Jan 18 16:44:50 UTC 2026","passed","Sun Jan 18 16:44:50 UTC 2026","Create entity","Users","",""
"","530","Create user","LMS service","Sun Jan 18 16:44:50 UTC 2026","passed","Sun Jan 18 16:44:51 UTC 2026","Create entity","Users","",""
"","266","Create file","LMS service","Sun Jan 18 16:44:47 UTC 2026","passed","Sun Jan 18 16:44:48 UTC 2026","Create entity","Files","",""
"","23","Delete exercise","LMS service","Sun Jan 18 16:44:46 UTC 2026","passed","Sun Jan 18 16:44:46 UTC 2026","Delete entity","Exercises","",""
"","549","Create user","LMS service","Sun Jan 18 16:44:50 UTC 2026","passed","Sun Jan 18 16:44:50 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Sun Jan 18 16:44:43 UTC 2026","passed","Sun Jan 18 16:44:43 UTC 2026","Create entity","Courses","",""
"","15","Get file with incorrect file id","LMS service","Sun Jan 18 16:44:50 UTC 2026","passed","Sun Jan 18 16:44:50 UTC 2026","Validate entity","Files","",""
"","17","Get exercise","LMS service","Sun Jan 18 16:44:45 UTC 2026","passed","Sun Jan 18 16:44:45 UTC 2026","Get entity","Exercises","",""
"","14","Get file","LMS service","Sun Jan 18 16:44:48 UTC 2026","passed","Sun Jan 18 16:44:48 UTC 2026","Get entity","Files","",""
