"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","Create exercise","LMS service","Wed Jan 07 16:04:48 UTC 2026","passed","Wed Jan 07 16:04:49 UTC 2026","Create entity","Exercises","",""
"","29","Get courses","LMS service","Wed Jan 07 16:04:48 UTC 2026","passed","Wed Jan 07 16:04:48 UTC 2026","Get entities","Courses","",""
"","559","Create user","LMS service","Wed Jan 07 16:04:54 UTC 2026","passed","Wed Jan 07 16:04:55 UTC 2026","Create entity","Users","",""
"","12","Get file","LMS service","Wed Jan 07 16:04:52 UTC 2026","passed","Wed Jan 07 16:04:52 UTC 2026","Get entity","Files","",""
"","12","Get user me","LMS service","Wed Jan 07 16:04:55 UTC 2026","passed","Wed Jan 07 16:04:55 UTC 2026","Get entity","Users","",""
"","20","Delete file","LMS service","Wed Jan 07 16:04:54 UTC 2026","passed","Wed Jan 07 16:04:54 UTC 2026","Validate entity","Files","",""
"","299","Update exercise","LMS service","Wed Jan 07 16:04:49 UTC 2026","passed","Wed Jan 07 16:04:49 UTC 2026","Update entity","Exercises","",""
"","294","Create user","LMS service","Wed Jan 07 16:04:54 UTC 2026","passed","Wed Jan 07 16:04:55 UTC 2026","Create entity","Users","",""
"","14","Get file with incorrect file id","LMS service","Wed Jan 07 16:04:54 UTC 2026","passed","Wed Jan 07 16:04:54 UTC 2026","Validate entity","Files","",""
"","17","Get exercises","LMS service","Wed Jan 07 16:04:51 UTC 2026","passed","Wed Jan 07 16:04:51 UTC 2026","Get entities","Exercises","",""
"","542","Create user","LMS service","Wed Jan 07 16:04:54 UTC 2026","passed","Wed Jan 07 16:04:54 UTC 2026","Create entity","Users","",""
"","268","Create file","LMS service","Wed Jan 07 16:04:51 UTC 2026","passed","Wed Jan 07 16:04:51 UTC 2026","Create entity","Files","",""
"","16","Get exercise","LMS service","Wed Jan 07 16:04:50 UTC 2026","passed","Wed Jan 07 16:04:50 UTC 2026","Get entity","Exercises","",""
"","286","Login with correct email and password","LMS service","Wed Jan 07 16:04:46 UTC 2026","passed","Wed Jan 07 16:04:46 UTC 2026","Login","Authentication","",""
"","267","Create file with empty directory","LMS service","Wed Jan 07 16:04:53 UTC 2026","passed","Wed Jan 07 16:04:53 UTC 2026","Validate entity","Files","",""
"","24","Delete exercise","LMS service","Wed Jan 07 16:04:50 UTC 2026","passed","Wed Jan 07 16:04:50 UTC 2026","Delete entity","Exercises","",""
"","299","Create course","LMS service","Wed Jan 07 16:04:47 UTC 2026","passed","Wed Jan 07 16:04:47 UTC 2026","Create entity","Courses","",""
"","268","Create file with empty filename","LMS service","Wed Jan 07 16:04:52 UTC 2026","passed","Wed Jan 07 16:04:53 UTC 2026","Validate entity","Files","",""
"","301","Update course","LMS service","Wed Jan 07 16:04:47 UTC 2026","passed","Wed Jan 07 16:04:47 UTC 2026","Update entity","Courses","",""
