"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Delete exercise","LMS service","Wed Jan 07 16:39:27 UTC 2026","passed","Wed Jan 07 16:39:27 UTC 2026","Delete entity","Exercises","",""
"","19","Delete file","LMS service","Wed Jan 07 16:39:30 UTC 2026","passed","Wed Jan 07 16:39:30 UTC 2026","Validate entity","Files","",""
"","249","Create file with empty directory","LMS service","Wed Jan 07 16:39:30 UTC 2026","passed","Wed Jan 07 16:39:30 UTC 2026","Validate entity","Files","",""
"","25","Update exercise","LMS service","Wed Jan 07 16:39:26 UTC 2026","passed","Wed Jan 07 16:39:26 UTC 2026","Update entity","Exercises","",""
"","530","Create user","LMS service","Wed Jan 07 16:39:31 UTC 2026","passed","Wed Jan 07 16:39:32 UTC 2026","Create entity","Users","",""
"","288","Create course","LMS service","Wed Jan 07 16:39:24 UTC 2026","passed","Wed Jan 07 16:39:24 UTC 2026","Create entity","Courses","",""
"","15","Get exercises","LMS service","Wed Jan 07 16:39:28 UTC 2026","passed","Wed Jan 07 16:39:28 UTC 2026","Get entities","Exercises","",""
"","498","Create user","LMS service","Wed Jan 07 16:39:30 UTC 2026","passed","Wed Jan 07 16:39:31 UTC 2026","Create entity","Users","",""
"","12","Get file","LMS service","Wed Jan 07 16:39:29 UTC 2026","passed","Wed Jan 07 16:39:29 UTC 2026","Get entity","Files","",""
"","27","Get courses","LMS service","Wed Jan 07 16:39:25 UTC 2026","passed","Wed Jan 07 16:39:25 UTC 2026","Get entities","Courses","",""
"","270","Login with correct email and password","LMS service","Wed Jan 07 16:39:23 UTC 2026","passed","Wed Jan 07 16:39:23 UTC 2026","Login","Authentication","",""
"","293","Update course","LMS service","Wed Jan 07 16:39:24 UTC 2026","passed","Wed Jan 07 16:39:24 UTC 2026","Update entity","Courses","",""
"","11","Get user me","LMS service","Wed Jan 07 16:39:32 UTC 2026","passed","Wed Jan 07 16:39:32 UTC 2026","Get entity","Users","",""
"","13","Get file with incorrect file id","LMS service","Wed Jan 07 16:39:31 UTC 2026","passed","Wed Jan 07 16:39:31 UTC 2026","Validate entity","Files","",""
"","250","Create file","LMS service","Wed Jan 07 16:39:28 UTC 2026","passed","Wed Jan 07 16:39:28 UTC 2026","Create entity","Files","",""
"","23","Create exercise","LMS service","Wed Jan 07 16:39:25 UTC 2026","passed","Wed Jan 07 16:39:25 UTC 2026","Create entity","Exercises","",""
"","249","Create file with empty filename","LMS service","Wed Jan 07 16:39:29 UTC 2026","passed","Wed Jan 07 16:39:29 UTC 2026","Validate entity","Files","",""
"","16","Get exercise","LMS service","Wed Jan 07 16:39:26 UTC 2026","passed","Wed Jan 07 16:39:27 UTC 2026","Get entity","Exercises","",""
"","279","Create user","LMS service","Wed Jan 07 16:39:31 UTC 2026","passed","Wed Jan 07 16:39:31 UTC 2026","Create entity","Users","",""
