"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Get courses","LMS service","Sun Jan 18 16:35:29 UTC 2026","passed","Sun Jan 18 16:35:29 UTC 2026","Get entities","Courses","",""
"","12","Get user me","LMS service","Sun Jan 18 16:35:37 UTC 2026","passed","Sun Jan 18 16:35:37 UTC 2026","Get entity","Users","",""
"","267","Create file","LMS service","Sun Jan 18 16:35:33 UTC 2026","passed","Sun Jan 18 16:35:33 UTC 2026","Create entity","Files","",""
"","21","Create exercise","LMS service","Sun Jan 18 16:35:30 UTC 2026","passed","Sun Jan 18 16:35:30 UTC 2026","Create entity","Exercises","",""
"","292","Create user","LMS service","Sun Jan 18 16:35:36 UTC 2026","passed","Sun Jan 18 16:35:36 UTC 2026","Create entity","Users","",""
"","25","Update exercise","LMS service","Sun Jan 18 16:35:30 UTC 2026","passed","Sun Jan 18 16:35:30 UTC 2026","Update entity","Exercises","",""
"","259","Create file with empty directory","LMS service","Sun Jan 18 16:35:34 UTC 2026","passed","Sun Jan 18 16:35:35 UTC 2026","Validate entity","Files","",""
"","13","Get file with incorrect file id","LMS service","Sun Jan 18 16:35:36 UTC 2026","passed","Sun Jan 18 16:35:36 UTC 2026","Validate entity","Files","",""
"","287","Login with correct email and password","LMS service","Sun Jan 18 16:35:27 UTC 2026","passed","Sun Jan 18 16:35:28 UTC 2026","Login","Authentication","",""
"","22","Delete exercise","LMS service","Sun Jan 18 16:35:32 UTC 2026","passed","Sun Jan 18 16:35:32 UTC 2026","Delete entity","Exercises","",""
"","15","Get exercise","LMS service","Sun Jan 18 16:35:31 UTC 2026","passed","Sun Jan 18 16:35:31 UTC 2026","Get entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Sun Jan 18 16:35:34 UTC 2026","passed","Sun Jan 18 16:35:34 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Sun Jan 18 16:35:33 UTC 2026","passed","Sun Jan 18 16:35:33 UTC 2026","Get entity","Files","",""
"","14","Get exercises","LMS service","Sun Jan 18 16:35:32 UTC 2026","passed","Sun Jan 18 16:35:32 UTC 2026","Get entities","Exercises","",""
"","19","Delete file","LMS service","Sun Jan 18 16:35:35 UTC 2026","passed","Sun Jan 18 16:35:35 UTC 2026","Validate entity","Files","",""
"","550","Create user","LMS service","Sun Jan 18 16:35:36 UTC 2026","passed","Sun Jan 18 16:35:36 UTC 2026","Create entity","Users","",""
"","303","Update course","LMS service","Sun Jan 18 16:35:28 UTC 2026","passed","Sun Jan 18 16:35:28 UTC 2026","Update entity","Courses","",""
"","538","Create user","LMS service","Sun Jan 18 16:35:35 UTC 2026","passed","Sun Jan 18 16:35:36 UTC 2026","Create entity","Users","",""
"","303","Create course","LMS service","Sun Jan 18 16:35:28 UTC 2026","passed","Sun Jan 18 16:35:29 UTC 2026","Create entity","Courses","",""
