"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Update exercise","LMS service","Sun Feb 01 14:21:36 UTC 2026","passed","Sun Feb 01 14:21:36 UTC 2026","Update entity","Exercises","",""
"","293","Create user","LMS service","Sun Feb 01 14:21:42 UTC 2026","passed","Sun Feb 01 14:21:42 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Sun Feb 01 14:21:43 UTC 2026","passed","Sun Feb 01 14:21:43 UTC 2026","Get entity","Users","",""
"","14","Get file","LMS service","Sun Feb 01 14:21:40 UTC 2026","passed","Sun Feb 01 14:21:40 UTC 2026","Get entity","Files","",""
"","553","Login with correct email and password","LMS service","Sun Feb 01 14:21:33 UTC 2026","passed","Sun Feb 01 14:21:34 UTC 2026","Login","Authentication","",""
"","293","Delete file","LMS service","Sun Feb 01 14:21:41 UTC 2026","passed","Sun Feb 01 14:21:41 UTC 2026","Validate entity","Files","",""
"","16","Get exercise","LMS service","Sun Feb 01 14:21:37 UTC 2026","passed","Sun Feb 01 14:21:37 UTC 2026","Get entity","Exercises","",""
"","17","Get file with incorrect file id","LMS service","Sun Feb 01 14:21:42 UTC 2026","passed","Sun Feb 01 14:21:42 UTC 2026","Validate entity","Files","",""
"","30","Create course","LMS service","Sun Feb 01 14:21:35 UTC 2026","passed","Sun Feb 01 14:21:35 UTC 2026","Create entity","Courses","",""
"","302","Delete exercise","LMS service","Sun Feb 01 14:21:37 UTC 2026","passed","Sun Feb 01 14:21:38 UTC 2026","Delete entity","Exercises","",""
"","558","Create user","LMS service","Sun Feb 01 14:21:42 UTC 2026","passed","Sun Feb 01 14:21:42 UTC 2026","Create entity","Users","",""
"","31","Update course","LMS service","Sun Feb 01 14:21:34 UTC 2026","passed","Sun Feb 01 14:21:34 UTC 2026","Update entity","Courses","",""
"","24","Get courses","LMS service","Sun Feb 01 14:21:35 UTC 2026","passed","Sun Feb 01 14:21:35 UTC 2026","Get entities","Courses","",""
"","17","Create file with empty filename","LMS service","Sun Feb 01 14:21:40 UTC 2026","passed","Sun Feb 01 14:21:40 UTC 2026","Validate entity","Files","",""
"","260","Create file with empty directory","LMS service","Sun Feb 01 14:21:41 UTC 2026","passed","Sun Feb 01 14:21:41 UTC 2026","Validate entity","Files","",""
"","550","Create user","LMS service","Sun Feb 01 14:21:41 UTC 2026","passed","Sun Feb 01 14:21:42 UTC 2026","Create entity","Users","",""
"","17","Create file","LMS service","Sun Feb 01 14:21:39 UTC 2026","passed","Sun Feb 01 14:21:39 UTC 2026","Create entity","Files","",""
"","285","Get exercises","LMS service","Sun Feb 01 14:21:38 UTC 2026","passed","Sun Feb 01 14:21:39 UTC 2026","Get entities","Exercises","",""
"","21","Create exercise","LMS service","Sun Feb 01 14:21:36 UTC 2026","passed","Sun Feb 01 14:21:36 UTC 2026","Create entity","Exercises","",""
