"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","560","Create user","LMS service","Wed Jan 07 16:10:32 UTC 2026","passed","Wed Jan 07 16:10:33 UTC 2026","Create entity","Users","",""
"","27","Update exercise","LMS service","Wed Jan 07 16:10:27 UTC 2026","passed","Wed Jan 07 16:10:27 UTC 2026","Update entity","Exercises","",""
"","296","Create user","LMS service","Wed Jan 07 16:10:32 UTC 2026","passed","Wed Jan 07 16:10:32 UTC 2026","Create entity","Users","",""
"","19","Delete file","LMS service","Wed Jan 07 16:10:31 UTC 2026","passed","Wed Jan 07 16:10:31 UTC 2026","Validate entity","Files","",""
"","27","Delete exercise","LMS service","Wed Jan 07 16:10:28 UTC 2026","passed","Wed Jan 07 16:10:28 UTC 2026","Delete entity","Exercises","",""
"","303","Create course","LMS service","Wed Jan 07 16:10:25 UTC 2026","passed","Wed Jan 07 16:10:25 UTC 2026","Create entity","Courses","",""
"","262","Create file with empty directory","LMS service","Wed Jan 07 16:10:31 UTC 2026","passed","Wed Jan 07 16:10:31 UTC 2026","Validate entity","Files","",""
"","23","Create exercise","LMS service","Wed Jan 07 16:10:26 UTC 2026","passed","Wed Jan 07 16:10:26 UTC 2026","Create entity","Exercises","",""
"","533","Create user","LMS service","Wed Jan 07 16:10:31 UTC 2026","passed","Wed Jan 07 16:10:32 UTC 2026","Create entity","Users","",""
"","261","Create file with empty filename","LMS service","Wed Jan 07 16:10:30 UTC 2026","passed","Wed Jan 07 16:10:30 UTC 2026","Validate entity","Files","",""
"","12","Get file","LMS service","Wed Jan 07 16:10:30 UTC 2026","passed","Wed Jan 07 16:10:30 UTC 2026","Get entity","Files","",""
"","17","Get exercises","LMS service","Wed Jan 07 16:10:28 UTC 2026","passed","Wed Jan 07 16:10:28 UTC 2026","Get entities","Exercises","",""
"","17","Get exercise","LMS service","Wed Jan 07 16:10:27 UTC 2026","passed","Wed Jan 07 16:10:27 UTC 2026","Get entity","Exercises","",""
"","283","Login with correct email and password","LMS service","Wed Jan 07 16:10:23 UTC 2026","passed","Wed Jan 07 16:10:24 UTC 2026","Login","Authentication","",""
"","17","Get file with incorrect file id","LMS service","Wed Jan 07 16:10:32 UTC 2026","passed","Wed Jan 07 16:10:32 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Wed Jan 07 16:10:33 UTC 2026","passed","Wed Jan 07 16:10:33 UTC 2026","Get entity","Users","",""
"","266","Create file","LMS service","Wed Jan 07 16:10:29 UTC 2026","passed","Wed Jan 07 16:10:29 UTC 2026","Create entity","Files","",""
"","26","Get courses","LMS service","Wed Jan 07 16:10:26 UTC 2026","passed","Wed Jan 07 16:10:26 UTC 2026","Get entities","Courses","",""
"","302","Update course","LMS service","Wed Jan 07 16:10:24 UTC 2026","passed","Wed Jan 07 16:10:25 UTC 2026","Update entity","Courses","",""
